chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000000_y000896_x000896,6.356539773987606,114,157,-43,0.7198133156759297,0.5622721470939108,83,31,74,0.7280701754385965,0.5286624203821656,0.6125461254612548,0.4519196612522091,0.2768216375198034,36,78,121,0.3157894736842105,0.22929936305732485,0.2656826568265682,0.638621310085609,0.1696706063696083
chunk_z5_y55_x5000_z000000_y000896_x001024,6.3814943809993565,94,126,-32,0.7231679632422192,0.5663767374435065,75,19,51,0.7978723404255319,0.5952380952380952,0.6818181818181819,0.49094496778629027,0.33473520530883427,39,55,87,0.4148936170212766,0.30952380952380953,0.35454545454545455,0.6447777182021357,0.22860300918075718
chunk_z5_y55_x5000_z000000_y000896_x001152,6.490302852005698,97,137,-40,0.6886924034869241,0.525195160401907,80,17,57,0.8247422680412371,0.583941605839416,0.6837606837606838,0.4743624744462009,0.3243504098777442,40,57,97,0.41237113402061853,0.291970802919708,0.3418803418803419,0.6135604207542146,0.2097642464116973
chunk_z5_y55_x5000_z000128_y000000_x000000,6.587761494098231,25,156,-131,0.05759799659142291,0.02965297425061777,13,12,143,0.52,0.08333333333333333,0.143646408839779,0.09655555304781695,0.013869858448857682,0,25,156,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000000_x000128,6.4048018429894,72,188,-116,0.3508490381904535,0.2127452527484088,28,44,160,0.3888888888888889,0.14893617021276595,0.21538461538461537,0.16325984747382377,0.035163659455900505,2,70,186,0.027777777777777776,0.010638297872340425,0.015384615384615384,0.5511309593780721,0.008478937836585725
chunk_z5_y55_x5000_z000128_y000000_x000256,6.260135267977603,98,188,-90,0.5122658879982145,0.34432623670162893,51,47,137,0.5204081632653061,0.2712765957446808,0.35664335664335667,0.24729485198696177,0.0881960660932521,4,94,184,0.04081632653061224,0.02127659574468085,0.027972027972027972,0.5921953984510617,0.01656490625037935
chunk_z5_y55_x5000_z000128_y000000_x000384,6.43470886698924,101,200,-99,0.500618073778491,0.33388295872024065,57,44,143,0.5643564356435643,0.285,0.37873754152823913,0.2637973230831064,0.09990994960622634,9,92,191,0.0891089108910891,0.045,0.05980066445182724,0.5815611651244391,0.03477774409382028
chunk_z5_y55_x5000_z000128_y000000_x000512,6.468717040028423,77,151,-74,0.6575206151029263,0.48978079104979144,46,31,105,0.5974025974025974,0.304635761589404,0.40350877192982454,0.37046425462216326,0.14948557642648694,13,64,138,0.16883116883116883,0.08609271523178808,0.11403508771929824,0.596980275281662,0.06807669805843514
chunk_z5_y55_x5000_z000128_y000000_x000640,6.496550736017525,119,162,-43,0.6157746761723064,0.44485147437524936,62,57,100,0.5210084033613446,0.38271604938271603,0.44128113879003555,0.37275371519427586,0.16448918392914663,20,99,142,0.16806722689075632,0.12345679012345678,0.1423487544483986,0.6030825480400832,0.08584804954307235
chunk_z5_y55_x5000_z000128_y000000_x000768,6.373903776053339,98,181,-83,0.6947809036421032,0.5323097904258606,67,31,114,0.6836734693877551,0.3701657458563536,0.48028673835125446,0.43203039375161656,0.2074984686835721,28,70,153,0.2857142857142857,0.15469613259668508,0.2007168458781362,0.6024317915757461,0.1209182090617985
chunk_z5_y55_x5000_z000128_y000000_x000896,6.5304124359972775,95,130,-35,0.6926600541027953,0.5298239805771672,60,35,70,0.631578947368421,0.46153846153846156,0.5333333333333333,0.41307185925599393,0.22030499160319678,25,70,105,0.2631578947368421,0.19230769230769232,0.2222222222222222,0.576589299860919,0.12813095552464868
chunk_z5_y55_x5000_z000128_y000000_x001024,6.464228286058642,93,140,-47,0.7166443506549707,0.5584144590166535,64,29,76,0.6881720430107527,0.45714285714285713,0.5493562231759657,0.49055581920008967,0.26948989209275315,33,60,107,0.3548387096774194,0.2357142857142857,0.2832618025751073,0.6346306113792247,0.1797666109486216
chunk_z5_y55_x5000_z000128_y000000_x001152,6.328970585949719,96,137,-41,0.7491263803190958,0.5988825477910364,69,27,68,0.71875,0.5036496350364964,0.592274678111588,0.4970818099406467,0.29440896897772206,41,55,96,0.4270833333333333,0.29927007299270075,0.35193133047210307,0.6347929218001472,0.22340351754339943
chunk_z5_y55_x5000_z000128_y000128_x000000,6.435584252001718,98,150,-52,0.5898624100660977,0.41830131632314443,46,52,104,0.46938775510204084,0.30666666666666664,0.3709677419354838,0.31470331960054926,0.11674477985181665,8,90,142,0.08163265306122448,0.05333333333333334,0.06451612903225806,0.6051073126926502,0.03903918146404194
chunk_z5_y55_x5000_z000128_y000128_x000128,6.072554995073006,101,173,-72,0.5225621266582193,0.3536948226975181,42,59,131,0.4158415841584158,0.24277456647398843,0.30656934306569344,0.1909847624193871,0.05855007315046904,0,101,173,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000128_x000256,6.145859626005404,92,162,-70,0.5429345706542934,0.3726219562412496,54,38,108,0.5869565217391305,0.3333333333333333,0.42519685039370075,0.3017127007341606,0.1282872900759423,8,84,154,0.08695652173913043,0.04938271604938271,0.06299212598425197,0.5819831580407464,0.036660356412015524
chunk_z5_y55_x5000_z000128_y000128_x000384,6.366430232999846,94,157,-63,0.6642553025272451,0.49729211262004186,74,20,83,0.7872340425531915,0.4713375796178344,0.5896414342629482,0.38972761630873637,0.2297995506521633,27,67,130,0.2872340425531915,0.17197452229299362,0.2151394422310757,0.5952329067660238,0.12805807555922424
chunk_z5_y55_x5000_z000128_y000128_x000512,6.474016502033919,105,164,-59,0.67902049907411,0.514028036467013,77,28,87,0.7333333333333333,0.4695121951219512,0.5724907063197026,0.4206513581006958,0.24081899311340949,30,75,134,0.2857142857142857,0.18292682926829268,0.22304832713754646,0.6033200487583756,0.13456952760409865
chunk_z5_y55_x5000_z000128_y000128_x000640,6.5093843169743195,98,143,-45,0.7120884874664573,0.5529017176542331,64,34,79,0.6530612244897959,0.44755244755244755,0.5311203319502075,0.4863923079118157,0.2583328440361511,31,67,112,0.3163265306122449,0.21678321678321677,0.2572614107883817,0.6215457455054728,0.1598997353582544
chunk_z5_y55_x5000_z000128_y000128_x000768,6.401960700983182,86,116,-30,0.7713136795362033,0.6277547545618093,62,24,54,0.7209302325581395,0.5344827586206896,0.6138613861386139,0.5083053708305929,0.3120290395197699,38,48,78,0.4418604651162791,0.3275862068965517,0.37623762376237624,0.617205420685401,0.23221590085193303
chunk_z5_y55_x5000_z000128_y000128_x000896,6.405684907920659,91,134,-43,0.7703112604414578,0.6264278395506812,65,26,69,0.7142857142857143,0.48507462686567165,0.5777777777777777,0.5275319227120313,0.30479622201139583,36,55,98,0.3956043956043956,0.26865671641791045,0.31999999999999995,0.6635090588747333,0.21232289883991465
chunk_z5_y55_x5000_z000128_y000128_x001024,6.547000224003568,81,106,-25,0.7998708844415752,0.666487358795051,65,16,41,0.8024691358024691,0.6132075471698113,0.6951871657754011,0.6007396346918764,0.41762648401039537,48,33,58,0.5925925925925926,0.4528301886792453,0.5133689839572193,0.6865092724565017,0.3524325676782041
chunk_z5_y55_x5000_z000128_y000128_x001152,6.208552424912341,97,96,1,0.7994899168662585,0.6659585188816712,65,32,31,0.6701030927835051,0.6770833333333334,0.6735751295336787,0.5531578985890584,0.3725934031947025,43,54,53,0.44329896907216493,0.4479166666666667,0.44559585492227977,0.6819030970658477,0.30385319351120677
chunk_z5_y55_x5000_z000128_y000256_x000000,6.378183842054568,69,140,-71,0.6253934784245802,0.45496181533303387,42,27,98,0.6086956521739131,0.3,0.4019138755980861,0.33355044660386507,0.1340585527020319,11,58,129,0.15942028985507245,0.07857142857142857,0.10526315789473685,0.6200922091601185,0.06527286412211775
chunk_z5_y55_x5000_z000128_y000256_x000128,6.626923213014379,111,130,-19,0.682303152793519,0.5177997915377901,44,67,86,0.3963963963963964,0.3384615384615385,0.3651452282157676,0.39829538015870125,0.1454356574853349,17,94,113,0.15315315315315314,0.13076923076923078,0.14107883817427386,0.6044616442006284,0.08527674648473596
