chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000000_y000896_x000768,6.380917608970776,88,131,-43,0.6467010236993409,0.4778700309573462,67,21,64,0.7613636363636364,0.5114503816793893,0.6118721461187214,0.40282981652166894,0.24648034435572438,24,64,107,0.2727272727272727,0.183206106870229,0.21917808219178084,0.6015437449626723,0.13184520437538022
chunk_z5_y55_x5000_z000000_y000896_x000896,6.431792009039782,98,157,-59,0.6956351477543151,0.5333133183991132,69,29,88,0.7040816326530612,0.4394904458598726,0.5411764705882354,0.40134203260208867,0.2171968647023068,23,75,134,0.23469387755102042,0.1464968152866242,0.1803921568627451,0.6263193251204089,0.11298309394328944
chunk_z5_y55_x5000_z000000_y000896_x001024,6.427027608035132,87,126,-39,0.7395198644047984,0.5866969605638375,68,19,58,0.7816091954022989,0.5396825396825397,0.6384976525821596,0.4972839373004862,0.3175146266331743,38,49,88,0.4367816091954023,0.30158730158730157,0.35680751173708924,0.6492609065913634,0.23166116854903107
chunk_z5_y55_x5000_z000000_y000896_x001152,6.393441539956257,80,137,-57,0.7083879423328965,0.5484525621511923,68,12,69,0.85,0.49635036496350365,0.6267281105990784,0.49139850153148,0.3079732544160428,40,40,97,0.5,0.291970802919708,0.36866359447004604,0.6274226196642664,0.23130787821724105
chunk_z5_y55_x5000_z000128_y000000_x000000,6.506531493971124,1,156,-155,0.005726147018824708,0.0028712942358768215,1,0,155,1.0,0.00641025641025641,0.012738853503184714,0.12345679012345678,0.0015726979633561373,0,1,156,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000000_x000128,6.390068506007083,17,188,-171,0.049821209371831134,0.02554699579918173,6,11,182,0.35294117647058826,0.031914893617021274,0.058536585365853655,0.07551552408019654,0.004420420921767603,0,17,188,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000000_x000256,6.374433559016325,29,188,-159,0.17052092401246483,0.0932073650093097,15,14,173,0.5172413793103449,0.0797872340425532,0.1382488479262673,0.12295425768688818,0.016998284472841685,0,29,188,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000000_x000384,6.405610437039286,50,200,-150,0.20925116507945699,0.11685120827608503,25,25,175,0.5,0.125,0.2,0.14981609726386608,0.029963219452773217,0,50,200,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000000_x000512,6.364812409039587,84,151,-67,0.46435585430544024,0.3023850646696639,33,51,118,0.39285714285714285,0.2185430463576159,0.28085106382978725,0.20265980107234063,0.05691722072669992,2,82,149,0.023809523809523808,0.013245033112582781,0.01702127659574468,0.6060478709272275,0.010315708441314509
chunk_z5_y55_x5000_z000128_y000000_x000640,6.418066237936728,76,162,-86,0.35968020689569424,0.2192744417324864,41,35,121,0.5394736842105263,0.25308641975308643,0.3445378151260504,0.22928696759313297,0.07899803085141556,2,74,160,0.02631578947368421,0.012345679012345678,0.01680672268907563,0.5275302225158263,0.008866054159929854
